Fid,lat,lng,road_desc,zip,timeStamp,twp,addr,outcome_of_incident,traffic_status,traffic_occured_by,area_accident_occured,Label
172.217.6.202-10.42.0.151-443-38436-6,40.1706264,-75.3642106,TROOPER RD & SPRING HILL RD; WORCESTER; 2022-12-11 @ 17:14:55;,19403,11-12-22 17:14,WORCESTER,TROOPER RD & SPRING HILL RD,Death,Medium,Rollover,Other,1
10.42.0.211-98.139.183.24-50061-443-6,40.0903967,-75.3957327,MALL BLVD & GODDARD BLVD; UPPER MERION; 2022-12-11 @ 17:11:53;,19406,11-12-22 17:11,UPPER MERION,MALL BLVD & GODDARD BLVD,Minor Injury,High,Collision with roadside objects,Other,0
10.42.0.211-104.119.40.238-35558-443-6,40.0091328,-75.2840693,LLANFAIR RD & E MONTGOMERY AVE; LOWER MERION; 2022-12-11 @ 17:13:14;,19003,11-12-22 17:13,LOWER MERION,LLANFAIR RD & E MONTGOMERY AVE,Death,High,Vehicle with vehicle collision,Office areas,1
10.42.0.1-10.42.0.42-53-15816-17,40.2212266,-75.2887369,LOUISE LN & DEAD END; UPPER GWYNEDD; 2022-12-11 @ 17:16:21-Station:STA80;,,11-12-22 17:16,UPPER GWYNEDD,LOUISE LN & DEAD END,Greviously Injured,Medium,Vehicle with vehicle collision,Other,2
172.217.12.202-10.42.0.151-443-57480-6,40.132899,-75.333714,LOGAN ST & MARKLEY ST;  NORRISTOWN; Station 308A; 2022-12-11 @ 17:19:10;,19401,11-12-22 17:19,NORRISTOWN,LOGAN ST & MARKLEY ST,Minor Injury,High,Vehicle with vehicle collision,  Recreational areas,0
172.217.12.162-10.42.0.211-443-37840-6,40.0792725,-75.1012585,VALLEY GLEN RD & GLEN WAY;  ABINGTON; Station 382; 2022-12-11 @ 17:17:08;,19027,11-12-22 17:17,ABINGTON,VALLEY GLEN RD & GLEN WAY,Minor Injury,Medium,Vehicle with vehicle collision,Other,0
10.42.0.211-10.42.0.1-57436-53-17,40.1734648,-75.3579084,N TROOPER RD; WORCESTER; 2022-12-11 @ 17:25:40-Station:STA83;,19403,11-12-22 17:25,WORCESTER,N TROOPER RD,Death,Medium,Vehicle with vehicle collision, Church areas,1
219.142.78.162-10.42.0.211-80-49169-6,40.125846,-75.195767,PENNSYLVANIA AVE & CAMP HILL RD; SPRINGFIELD; 2022-12-11 @ 17:25:18;,19034,11-12-22 17:25,SPRINGFIELD,PENNSYLVANIA AVE & CAMP HILL RD,Greviously Injured,High,Vehicle with vehicle collision,Residential areas,2
172.217.10.234-10.42.0.42-443-55741-6,40.0972222,-75.3761952,SCHUYLKILL EXPY & RT202 OVERPASS; UPPER MERION; 2022-12-11 @ 17:24:30;,,11-12-22 17:24,UPPER MERION,SCHUYLKILL EXPY & RT202 OVERPASS,Death,High,Collision with pedestrians,Office areas,1
172.217.10.227-10.42.0.151-443-35384-6,40.1807562,-75.1831301,WELSH RD & N LIMEKILN PIKE; UPPER DUBLIN; 2022-12-11 @ 17:25:24;,19044,11-12-22 17:25,UPPER DUBLIN,WELSH RD & N LIMEKILN PIKE,Minor Injury,Medium,Vehicle with vehicle collision,Other,0
203.205.158.63-10.42.0.151-80-36742-6,40.2290075,-75.3878525,RT422 BYP WB & RT100 UNDERPASS; CHESTER COUNTY; 2022-12-11 @ 17:26:23;,,11-12-22 17:26,CHESTER COUNTY,RT422 BYP WB & RT100 UNDERPASS,Minor Injury,High,Vehicle with vehicle collision,Office areas,0
10.42.0.151-36.110.210.167-50943-80-6,40.1198577,-75.3404954,JACOBY ST & CHURCH ST;  NORRISTOWN; Station 308A; 2022-12-11 @ 17:26:28;,19401,11-12-22 17:26,NORRISTOWN,JACOBY ST & CHURCH ST,Greviously Injured,High,Collision with roadside objects,Office areas,2
10.42.0.211-27.221.28.204-35675-80-6,40.1792254,-75.1805718,WELSH RD & NORRISTOWN RD; HORSHAM; 2022-12-11 @ 17:25:24;,19044,11-12-22 17:25,HORSHAM,WELSH RD & NORRISTOWN RD,Minor Injury,Medium,Vehicle with vehicle collision,Other,0
182.22.24.252-10.42.0.151-443-38591-6,40.1330371,-75.4084631,SHANNONDELL DR & SHANNONDELL BLVD;  LOWER PROVIDENCE; Station 322A; 2022-12-11 @ 17:31:04;,19403,11-12-22 17:31,LOWER PROVIDENCE,SHANNONDELL DR & SHANNONDELL BLVD,Death,High,Vehicle with vehicle collision,Residential areas,1
10.42.0.211-115.239.210.141-54372-443-6,40.0121627,-75.2624047,MONTGOMERY AVE & OLD GULPH RD; LOWER MERION; 2022-12-11 @ 17:32:42;,19072,11-12-22 17:32,LOWER MERION,MONTGOMERY AVE & OLD GULPH RD,Minor Injury,Medium,Vehicle with vehicle collision,  Recreational areas,0
172.217.10.104-10.42.0.211-443-53162-6,40.2593257,-75.2794631,MOYER RD & WIMBLEDON LN;  HATFIELD TOWNSHIP; Station 345; 2022-12-11 @ 17:38:47;,19440,11-12-22 17:38,HATFIELD TOWNSHIP,MOYER RD & WIMBLEDON LN,Death,Medium,Collision with roadside objects, Church areas,1
172.217.12.202-10.42.0.211-443-50637-6,40.1273963,-75.2585732,PEMBERTON RD & STENTON AVE;  WHITPAIN; Station 385; 2022-12-11 @ 17:37:59;,19462,11-12-22 17:37,WHITPAIN,PEMBERTON RD & STENTON AVE,Greviously Injured,High,Vehicle with vehicle collision,Other,2
10.42.0.1-10.42.0.42-53-21229-17,40.1166841,-75.3356813,SMITH ST & E OAK ST;  NORRISTOWN; Station 308A; 2022-12-11 @ 17:45:21;,19401,11-12-22 17:45,NORRISTOWN,SMITH ST & E OAK ST,Minor Injury,High,Vehicle with vehicle collision,Other,0
10.42.0.42-121.12.98.63-52357-80-6,40.1552833,-75.2642296,PENLLYN BLUE BELL PIKE & VILLAGE CIR;  WHITPAIN; Station 385; 2022-12-11 @ 17:43:01;,19422,11-12-22 17:43,WHITPAIN,PENLLYN BLUE BELL PIKE & VILLAGE CIR,Greviously Injured,Medium,Vehicle with vehicle collision,Other,2
172.217.17.99-10.42.0.42-443-52858-6,40.228451,-75.4862614,N TOWNSHIP LINE RD & MAYBERRY RD; PERKIOMEN; 2022-12-11 @ 17:44:16;,19473,11-12-22 17:44,PERKIOMEN,N TOWNSHIP LINE RD & MAYBERRY RD,Minor Injury,High,Vehicle with vehicle collision,Residential areas,0
10.42.0.211-72.30.3.43-47743-443-6,40.1135034,-75.1693171,MT CARMEL AVE & NORTH HILLS AVE; ABINGTON; 2022-12-11 @ 17:44:51;,19038,11-12-22 17:44,ABINGTON,MT CARMEL AVE & NORTH HILLS AVE,Greviously Injured,High,Vehicle with vehicle collision,School areas,2
172.217.7.10-10.42.0.211-443-55971-6,40.1710753,-75.0711666,DAVISVILLE RD & E COUNTY LINE RD; UPPER MORELAND; 2022-12-11 @ 17:44:56;,18974,11-12-22 17:44,UPPER MORELAND,DAVISVILLE RD & E COUNTY LINE RD,Minor Injury,Medium,Vehicle with vehicle collision, Church areas,0
172.217.10.131-10.42.0.42-443-41852-6,40.1807562,-75.1831301,WELSH RD & N LIMEKILN PIKE; HORSHAM; 2022-12-11 @ 17:43:46;,19044,11-12-22 17:43,HORSHAM,WELSH RD & N LIMEKILN PIKE,Death,High,Vehicle with vehicle collision,Other,1
10.42.0.211-121.12.98.64-56581-80-6,40.1640959,-75.1549526,WELSH RD;  HORSHAM; Station 352; 2022-12-11 @ 17:46:06;,,11-12-22 17:46,HORSHAM,WELSH RD,Minor Injury,High,Collision with roadside objects,Other,0
10.42.0.211-54.225.183.207-38335-443-6,40.2290075,-75.3878525,RT422 BYP WB & RAMP RT100 SB TO RT422 WB; CHESTER COUNTY; 2022-12-11 @ 17:46:40;,,11-12-22 17:46,CHESTER COUNTY,RT422 BYP WB & RAMP RT100 SB TO RT422 WB,Death,Medium,Vehicle with vehicle collision,Office areas,1
10.42.0.211-111.206.25.159-38861-80-6,40.2246375,-75.4899959,N TOWNSHIP LINE RD & GRATERFORD RD; LIMERICK; 2022-12-11 @ 17:44:16;,19468,11-12-22 17:44,LIMERICK,N TOWNSHIP LINE RD & GRATERFORD RD,Greviously Injured,High,Vehicle with vehicle collision,Office areas,2
10.42.0.211-59.38.112.48-45209-443-6,40.2290075,-75.3878525,RT422 BYP WB;  CHESTER COUNTY; Station 3A84; 2022-12-11 @ 17:57:03;,,11-12-22 17:57,CHESTER COUNTY,RT422 BYP WB,Minor Injury,Medium,Vehicle with vehicle collision,Other,0
10.42.0.211-66.198.24.250-58789-80-6,40.073014,-75.131626,OLD YORK RD & SPRING AVE; CHELTENHAM; 2022-12-11 @ 17:56:02-Station:STA5;,19027,11-12-22 17:56,CHELTENHAM,OLD YORK RD & SPRING AVE,Minor Injury,Medium,Vehicle with vehicle collision, Hospital areas,0
172.217.6.202-10.42.0.211-443-37661-6,40.256635,-75.6348134,FRANKLIN ST & WILSON ST;  POTTSTOWN; Station 329; 2022-12-11 @ 17:59:47;,19464,11-12-22 17:59,POTTSTOWN,FRANKLIN ST & WILSON ST,Death,High,Vehicle with vehicle collision,Other,1
202.77.129.150-10.42.0.211-80-40556-6,40.2407819,-75.2239302,FILLY DR & POLO DR; MONTGOMERY; 2022-12-11 @ 17:58:29-Station:STA18;,19454,11-12-22 17:58,MONTGOMERY,FILLY DR & POLO DR,Greviously Injured,High,Vehicle with vehicle collision,Other,2
172.217.12.174-10.42.0.211-443-55238-6,40.200691,-75.216032,W WELSH RD; LOWER GWYNEDD; 2022-12-11 @ 18:00:39-Station:STA62;,19002,11-12-22 18:00,LOWER GWYNEDD,W WELSH RD,Death,Medium,Vehicle with vehicle collision,Other,1
10.42.0.211-23.217.155.120-55428-80-6,40.2290075,-75.3878525,RT422 BYP & RAMP RT422 WB TO RT100 NB;  CHESTER COUNTY; Station 3A84; 2022-12-11 @ 17:57:03;,,11-12-22 17:57,CHESTER COUNTY,RT422 BYP & RAMP RT422 WB TO RT100 NB,Minor Injury,High,Collision with roadside objects,Other,0
10.42.0.211-10.42.0.1-41580-53-17,40.2290075,-75.3878525,RT422 BYP & RAMP RT422 WB TO RT100 NB; CHESTER COUNTY; 2022-12-11 @ 17:46:40;,,11-12-22 17:46,CHESTER COUNTY,RT422 BYP & RAMP RT422 WB TO RT100 NB,Greviously Injured,Medium,Rollover,Other,2
172.217.6.238-10.42.0.211-80-39621-6,40.2083076,-75.2283594,W WELSH RD & EVANS RD; LOWER GWYNEDD; 2022-12-11 @ 18:00:55;,19002,11-12-22 18:00,LOWER GWYNEDD,W WELSH RD & EVANS RD,Minor Injury,Medium,Vehicle with vehicle collision, Hospital areas,0
172.217.2.106-10.42.0.211-443-59370-6,40.2281549,-75.5330076,LEWIS RD & SAND TRAP DR; LIMERICK; 2022-12-11 @ 18:01:27-Station:STA54;,19468,11-12-22 18:01,LIMERICK,LEWIS RD & SAND TRAP DR,Minor Injury,High,Vehicle with vehicle collision,Other,0
10.42.0.211-106.11.92.14-33662-443-6,40.2980231,-75.4652864,COLONIAL DR & MEADOW LN; LOWER FREDERICK; 2022-12-11 @ 18:05:22;,18074,11-12-22 18:05,LOWER FREDERICK,COLONIAL DR & MEADOW LN,Death,High,Vehicle with vehicle collision,Other,1
10.42.0.211-10.42.0.1-14594-53-17,40.0055473,-75.2367003,MONTGOMERY AVE & KENT RD; LOWER MERION; 2022-12-11 @ 18:02:14;,19004,11-12-22 18:02,LOWER MERION,MONTGOMERY AVE & KENT RD,Greviously Injured,Medium,Vehicle with vehicle collision,Other,2
140.205.134.25-10.42.0.211-443-37380-6,40.254768,-75.6604586,ROBINSON ST & SHOEMAKER RD;  POTTSTOWN; Station 329; 2022-12-11 @ 18:04:59;,19464,11-12-22 18:04,POTTSTOWN,ROBINSON ST & SHOEMAKER RD,Death,High,Vehicle with vehicle collision,Office areas,1
10.42.0.211-115.239.210.141-43628-80-6,40.1999657,-75.5246655,BUCKWALTER RD & JOSHUA DR;  LIMERICK; Station 325; 2022-12-11 @ 18:07:27;,19468,11-12-22 18:07,LIMERICK,BUCKWALTER RD & JOSHUA DR,Minor Injury,High,Vehicle with vehicle collision,Residential areas,0
180.149.153.68-10.42.0.211-80-55093-6,40.2428238,-75.2824703,3RD ST & N BROAD ST;  LANSDALE; Station 345; 2022-12-11 @ 18:10:04;,19446,11-12-22 18:10,LANSDALE,3RD ST & N BROAD ST,Minor Injury,Medium,Vehicle with vehicle collision,Other,0
192.229.173.173-10.42.0.211-80-50465-6,40.2449124,-75.6443631,HIGH ST & S FRANKLIN ST;  POTTSTOWN; Station 329; 2022-12-11 @ 18:07:58;,19464,11-12-22 18:07,POTTSTOWN,HIGH ST & S FRANKLIN ST,Greviously Injured,High,Vehicle with vehicle collision,Residential areas,2
172.217.9.228-10.42.0.211-443-38352-6,40.2253013,-75.2339509,BETHLEHEM PIKE & STUMP RD; MONTGOMERY; 2022-12-11 @ 18:08:25;,18936,11-12-22 18:08,MONTGOMERY,BETHLEHEM PIKE & STUMP RD,Minor Injury,High,Collision with roadside objects,Other,0
172.217.10.227-10.42.0.151-443-34972-6,40.1644656,-75.1353356,BLAIR MILL RD & WITMER RD; UPPER MORELAND; 2022-12-11 @ 18:08:02;,19044,11-12-22 18:08,UPPER MORELAND,BLAIR MILL RD & WITMER RD,Death,Medium,Vehicle with vehicle collision,Residential areas,1
180.76.171.199-10.42.0.42-80-34883-6,40.1834279,-75.2872063,WINGED FOOT DR & SAWGRASS DR;  WHITPAIN; Station 385; 2022-12-11 @ 18:16:47;,19422,11-12-22 18:16,WHITPAIN,WINGED FOOT DR & SAWGRASS DR,Minor Injury,High,Vehicle with vehicle collision,Office areas,0
182.22.120.246-10.42.0.211-443-50249-6,40.1585374,-75.2141231,BETHLEHEM PIKE & ARGYLE AVE;  AMBLER; Station 351; 2022-12-11 @ 18:19:43;,19002,11-12-22 18:19,AMBLER,BETHLEHEM PIKE & ARGYLE AVE,Death,Medium,Vehicle with vehicle collision,Office areas,1
198.11.132.221-10.42.0.211-443-49722-6,40.0809133,-75.2026651,EVERGREEN AVE & STENTON AVE;  SPRINGFIELD; Station 311; 2022-12-11 @ 18:16:19;,19038,11-12-22 18:16,SPRINGFIELD,EVERGREEN AVE & STENTON AVE,Greviously Injured,Medium,Vehicle with vehicle collision,Office areas,2
10.42.0.151-10.42.0.1-32525-53-17,40.2377465,-75.2773028,E MAIN ST & PARK DR; LANSDALE; 2022-12-11 @ 18:26:17;,19446,11-12-22 18:26,LANSDALE,E MAIN ST & PARK DR,Minor Injury,High,Collision with pedestrians,  Recreational areas,0
172.217.10.74-10.42.0.151-443-48736-6,40.2491471,-75.6721646,HIGH ST & RAMP RT100 NB TO W HIGH ST; POTTSTOWN; 2022-12-11 @ 18:28:14-Station:STA69;,19464,11-12-22 18:28,POTTSTOWN,HIGH ST & RAMP RT100 NB TO W HIGH ST,Greviously Injured,High,Collision with pedestrians,Other,2
10.42.0.211-10.42.0.1-17007-53-17,40.073014,-75.131626,OLD YORK RD & SPRING AVE;  CHELTENHAM; Station 358; 2022-12-11 @ 18:35:06;,19027,11-12-22 18:35,CHELTENHAM,OLD YORK RD & SPRING AVE,Minor Injury,Medium,Vehicle with vehicle collision,Other,0
10.42.0.211-64.71.142.95-38518-443-6,40.1797224,-75.1877783,LARKSPUR LN & HOOD LN;  UPPER DUBLIN; Station 351; 2022-12-11 @ 18:31:54;,19002,11-12-22 18:31,UPPER DUBLIN,LARKSPUR LN & HOOD LN,Greviously Injured,High,Vehicle with vehicle collision,Other,2
180.149.138.197-10.42.0.151-80-48026-6,40.1568468,-75.1019942,RAMP I276 TO RT611  & RAMP I276 EB TO RT611;  UPPER MORELAND; Station 4A114; 2022-12-11 @ 18:39:51;,,11-12-22 18:39,UPPER MORELAND,RAMP I276 TO RT611  & RAMP I276 EB TO RT611,Minor Injury,High,Vehicle with vehicle collision,Other,0
10.42.0.211-104.193.88.109-42054-80-6,40.1405049,-75.3108737,GERMANTOWN PIKE & HANNAH AVE;  EAST NORRITON; Station 308; 2022-12-11 @ 18:41:51;,19401,11-12-22 18:41,EAST NORRITON,GERMANTOWN PIKE & HANNAH AVE,Death,Medium,Rollover,Other,1
10.42.0.211-10.42.0.1-51523-53-17,40.1537535,-75.1216041,EASTON RD & LAWNTON RD;  UPPER MORELAND; Station 381; 2022-12-11 @ 18:46:19;,19090,11-12-22 18:46,UPPER MORELAND,EASTON RD & LAWNTON RD,Minor Injury,High,Vehicle with vehicle collision,Office areas,0
172.217.12.138-10.42.0.151-443-45575-6,40.0945329,-75.1815049,WILLOW GROVE AVE & NEWBOLD LN; CHELTENHAM; 2022-12-11 @ 18:47:18-Station:STA1;,19038,11-12-22 18:47,CHELTENHAM,WILLOW GROVE AVE & NEWBOLD LN,Death,Medium,Vehicle with vehicle collision,Office areas,1
10.42.0.211-47.89.69.237-35892-443-6,40.1025302,-75.2129155,BETHLEHEM PIKE & E WISSAHICKON AVE; SPRINGFIELD; 2022-12-11 @ 18:47:45;,19031,11-12-22 18:47,SPRINGFIELD,BETHLEHEM PIKE & E WISSAHICKON AVE,Greviously Injured,Medium,Collision with pedestrians,Office areas,2
10.42.0.151-104.254.66.16-50166-80-6,40.2606041,-75.2194891,COUNTY LINE RD & HORIZON DR; MONTGOMERY; 2022-12-11 @ 18:50:56;,18914,11-12-22 18:50,MONTGOMERY,COUNTY LINE RD & HORIZON DR,Greviously Injured,High,Vehicle with vehicle collision,Residential areas,2
10.42.0.211-77.234.41.79-36599-443-6,40.0809133,-75.2026651,EVERGREEN AVE & STENTON AVE; SPRINGFIELD; 2022-12-11 @ 19:00:17-Station:STA82;,19038,11-12-22 19:00,SPRINGFIELD,EVERGREEN AVE & STENTON AVE,Minor Injury,High,Vehicle with vehicle collision,  Recreational areas,0
10.42.0.1-10.42.0.42-53-48105-17,40.2511067,-75.6484443,HANOVER ST & E 4TH ST;  POTTSTOWN; Station 329; 2022-12-11 @ 19:00:56;,19464,11-12-22 19:00,POTTSTOWN,HANOVER ST & E 4TH ST,Minor Injury,Medium,Vehicle with vehicle collision, Church areas,0
216.58.219.226-10.42.0.151-443-60409-6,40.0972222,-75.3761952,SCHUYLKILL EXPY & N GULPH RD UNDERPASS; UPPER MERION; 2022-12-11 @ 19:09:11;,,11-12-22 19:09,UPPER MERION,SCHUYLKILL EXPY & N GULPH RD UNDERPASS,Death,High,Collision with pedestrians,Office areas,1
10.42.0.151-123.125.29.138-33679-443-6,40.0972222,-75.3761952,SCHUYLKILL EXPY & N GULPH RD UNDERPASS; UPPER MERION; 2022-12-11 @ 19:09:12;,,11-12-22 19:09,UPPER MERION,SCHUYLKILL EXPY & N GULPH RD UNDERPASS,Greviously Injured,High,Vehicle with vehicle collision,Other,2
10.42.0.211-121.14.255.100-41772-80-6,40.1560377,-75.2745713,STONY BROOK DR & BLUE ROCK LN;  WHITPAIN; Station 385; 2022-12-11 @ 19:14:22;,19422,11-12-22 19:14,WHITPAIN,STONY BROOK DR & BLUE ROCK LN,Death,Medium,Collision with pedestrians,Residential areas,1
10.42.0.42-52.84.29.55-46478-443-6,40.1274502,-75.3618445,MARSHALL ST & N MONTGOMERY AVE;  WEST NORRITON; Station 308B; 2022-12-11 @ 19:17:24;,19403,11-12-22 19:17,WEST NORRITON,MARSHALL ST & N MONTGOMERY AVE,Minor Injury,High,Vehicle with vehicle collision,School areas,0
10.42.0.211-10.42.0.1-5420-53-17,40.1665145,-75.4721505,S COLLEGEVILLE RD;  UPPER PROVIDENCE; Station 324; 2022-12-11 @ 19:18:17;,,11-12-22 19:18,UPPER PROVIDENCE,S COLLEGEVILLE RD,Minor Injury,High,Vehicle with vehicle collision,Office areas,0
10.42.0.151-10.42.0.1-2009-53-17,40.0883549,-75.3821004,DEKALB PIKE & ALLENDALE RD; UPPER MERION; 2022-12-11 @ 19:20:31;,19406,11-12-22 19:20,UPPER MERION,DEKALB PIKE & ALLENDALE RD,Greviously Injured,Medium,Vehicle with vehicle collision,Other,2
172.217.10.99-10.42.0.211-443-36148-6,40.1320477,-75.3578112,GLEN LN & BEECH ST;  WEST NORRITON; Station 308B; 2022-12-11 @ 19:23:42;,19403,11-12-22 19:23,WEST NORRITON,GLEN LN & BEECH ST,Minor Injury,High,Vehicle with vehicle collision,Other,0
10.42.0.42-123.125.115.164-60861-443-6,40.095859,-75.417219,N GULPH RD & 1ST AVE; UPPER MERION; 2022-12-11 @ 19:22:53;,19406,11-12-22 19:22,UPPER MERION,N GULPH RD & 1ST AVE,Death,Medium,Vehicle with vehicle collision,Office areas,1
172.217.6.200-10.42.0.211-443-41694-6,40.0946197,-75.3628559,DEKALB PIKE & S HENDERSON RD;  UPPER MERION; Station 317; 2022-12-11 @ 19:27:30;,19406,11-12-22 19:27,UPPER MERION,DEKALB PIKE & S HENDERSON RD,Minor Injury,Medium,Collision with roadside objects,Office areas,0
10.42.0.151-121.12.98.64-59149-80-6,40.0946197,-75.3628559,DEKALB PIKE & S HENDERSON RD; UPPER MERION; 2022-12-11 @ 19:29:15;,19406,11-12-22 19:29,UPPER MERION,DEKALB PIKE & S HENDERSON RD,Death,High,Vehicle with vehicle collision,Other,1
10.42.0.151-66.198.24.253-48778-443-6,40.324992,-75.3281748,N MAIN ST & RR CROSSING; TELFORD; 2022-12-11 @ 19:30:34;,,11-12-22 19:30,TELFORD,N MAIN ST & RR CROSSING,Greviously Injured,High,Vehicle with vehicle collision,Office areas,2
10.42.0.211-115.239.210.141-38378-80-6,40.1503559,-75.34126,W GERMANTOWN PIKE;  EAST NORRITON; Station 308; 2022-12-11 @ 19:35:09;,,11-12-22 19:35,EAST NORRITON,W GERMANTOWN PIKE,Minor Injury,Medium,Collision with roadside objects, Industrial areas,0
10.42.0.151-125.56.239.180-54960-80-6,40.267043,-75.648887,STATE ST; POTTSTOWN; 2022-12-11 @ 19:35:56-Station:STA69;,19464,11-12-22 19:35,POTTSTOWN,STATE ST,Death,High,Vehicle with vehicle collision,Office areas,1
10.42.0.42-62.138.0.117-60296-80-6,40.1477128,-75.1319704,OKLAHOMA RD & SMITH AVE;  ABINGTON; Station 381; 2022-12-11 @ 19:33:26;,19090,11-12-22 19:33,ABINGTON,OKLAHOMA RD & SMITH AVE,Greviously Injured,High,Vehicle with vehicle collision,Other,2
172.217.10.42-10.42.0.42-443-39350-6,40.267043,-75.648887,STATE ST;  POTTSTOWN; Station 329; 2022-12-11 @ 19:33:57;,19464,11-12-22 19:33,POTTSTOWN,STATE ST,Death,Medium,Vehicle with vehicle collision,Other,1
10.42.0.42-119.146.74.48-55131-80-6,40.2568998,-75.6517214,STATE ST & W 8TH ST; POTTSTOWN; 2022-12-11 @ 19:33:34;,19464,11-12-22 19:33,POTTSTOWN,STATE ST & W 8TH ST,Minor Injury,High,Vehicle with vehicle collision,Office areas,0
169.45.238.51-10.42.0.211-5222-60380-6,40.1452231,-75.3186843,W GERMANTOWN PIKE & SWEDE RD; EAST NORRITON; 2022-12-11 @ 19:35:37;,19401,11-12-22 19:35,EAST NORRITON,W GERMANTOWN PIKE & SWEDE RD,Greviously Injured,Medium,Collision with pedestrians, Church areas,2
10.42.0.151-10.42.0.1-9559-53-17,40.2582531,-75.2482301,BETHLEHEM PIKE & TAYLOR RD;  MONTGOMERY; Station 345; 2022-12-11 @ 19:38:32;,19446,11-12-22 19:38,MONTGOMERY,BETHLEHEM PIKE & TAYLOR RD,Minor Injury,Medium,Collision with pedestrians,Office areas,0
172.217.12.130-10.42.0.211-443-35118-6,40.0524277,-75.1207935,CHELTENHAM AVE & WALNUT PARK DR;  CHELTENHAM; Station 358; 2022-12-11 @ 19:44:27;,19012,11-12-22 19:44,CHELTENHAM,CHELTENHAM AVE & WALNUT PARK DR,Death,High,Vehicle with vehicle collision,Residential areas,1
10.42.0.211-66.198.24.224-56208-443-6,40.2355078,-75.5905277,LINFIELD RD & S SANATOGA RD; LOWER POTTSGROVE; 2022-12-11 @ 19:42:41;,19464,11-12-22 19:42,LOWER POTTSGROVE,LINFIELD RD & S SANATOGA RD,Minor Injury,Medium,Vehicle with vehicle collision,  Recreational areas,0
208.185.50.35-10.42.0.151-443-50712-6,40.2355078,-75.5905277,LINFIELD RD & S SANATOGA RD; LOWER POTTSGROVE; 2022-12-11 @ 19:46:24-Station:STA58;,19464,11-12-22 19:46,LOWER POTTSGROVE,LINFIELD RD & S SANATOGA RD,Death,Medium,Collision with roadside objects,Other,1
10.42.0.1-10.42.0.42-53-37422-17,40.064633,-75.1229148,SURREY RD & LAFAYETTE AVE;  CHELTENHAM; Station 358; 2022-12-11 @ 19:50:11;,19027,11-12-22 19:50,CHELTENHAM,SURREY RD & LAFAYETTE AVE,Greviously Injured,High,Vehicle with vehicle collision, Church areas,2
10.42.0.42-104.244.42.65-49531-443-6,40.0893283,-75.1317412,WASHINGTON LN & TOWNSHIP LINE RD;  ABINGTON; Station 382; 2022-12-11 @ 19:48:13;,19095,11-12-22 19:48,ABINGTON,WASHINGTON LN & TOWNSHIP LINE RD,Minor Injury,High,Vehicle with vehicle collision,Other,0
10.42.0.211-66.198.178.88-41767-443-6,40.2216258,-75.3875797,SKIPPACK PIKE & EVANSBURG RD;  SKIPPACK; Station 336; 2022-12-11 @ 19:49:39;,19438,11-12-22 19:49,SKIPPACK,SKIPPACK PIKE & EVANSBURG RD,Death,Medium,Vehicle with vehicle collision,Other,1
169.54.33.161-10.42.0.151-443-46557-6,40.3305544,-75.6238893,MONTGOMERY AVE & E 6TH ST;  DOUGLASS; Station 332; 2022-12-11 @ 19:47:46;,19512,11-12-22 19:47,DOUGLASS,MONTGOMERY AVE & E 6TH ST,Greviously Injured,High,Vehicle with vehicle collision, Church areas,2
172.217.9.238-10.42.0.151-443-56667-6,40.1816167,-75.2312638,PENLLYN PIKE & FOXFIELD RD;  LOWER GWYNEDD; Station 351; 2022-12-11 @ 19:50:59;,19002,11-12-22 19:50,LOWER GWYNEDD,PENLLYN PIKE & FOXFIELD RD,Death,High,Collision with roadside objects,Office areas,1
10.42.0.151-23.51.51.20-57703-443-6,40.2013457,-75.5384201,LEWIS RD & COUNTRY CLUB RD;  LIMERICK; Station 325; 2022-12-11 @ 19:53:48;,19468,11-12-22 19:53,LIMERICK,LEWIS RD & COUNTRY CLUB RD,Minor Injury,Medium,Vehicle with vehicle collision,Office areas,0
172.217.10.234-10.42.0.42-443-53340-6,40.2355078,-75.5905277,LINFIELD RD & S SANATOGA RD;  LOWER POTTSGROVE; Station 329; 2022-12-11 @ 19:47:02;,19464,11-12-22 19:47,LOWER POTTSGROVE,LINFIELD RD & S SANATOGA RD,Greviously Injured,High,Vehicle with vehicle collision, Church areas,2
10.42.0.211-40.69.219.199-50315-443-6,40.1370566,-75.1213913,EASTON RD & OLD WELSH RD; ABINGTON; 2022-12-11 @ 19:57:14;,19090,11-12-22 19:57,ABINGTON,EASTON RD & OLD WELSH RD,Minor Injury,High,Collision with roadside objects,Other,0
172.217.9.226-10.42.0.42-443-60400-6,40.0360047,-75.3491971,LANCASTER AVE & N SPRING MILL RD; DELAWARE COUNTY; 2022-12-11 @ 19:56:34-Station:STA23;,19085,11-12-22 19:56,DELAWARE COUNTY,LANCASTER AVE & N SPRING MILL RD,Greviously Injured,Medium,Vehicle with vehicle collision,Other,2
172.217.10.46-10.42.0.151-443-44225-6,40.1392582,-75.1641167,N LIMEKILN PIKE & SUSQUEHANNA RD; UPPER DUBLIN; 2022-12-11 @ 20:04:17;,19025,11-12-22 20:04,UPPER DUBLIN,N LIMEKILN PIKE & SUSQUEHANNA RD,Minor Injury,High,Collision with roadside objects, Church areas,0
